write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,1569.0686,1176.7000,1210.0000,NaN,15377667.0000
0.1000,2.0000,64.0000,1487.5551,1100.8501,1194.5000,NaN,14549920.0000
0.1000,2.0000,128.0000,1571.8251,1172.7335,1213.5000,NaN,15372655.0000
0.1000,2.0000,256.0000,1598.1837,1180.3162,1223.5000,NaN,15613071.0000
0.1000,2.0000,512.0000,1515.3827,1127.3369,1211.0000,NaN,14836918.0000
0.1000,2.0000,1024.0000,1658.3467,1295.3700,1248.0000,NaN,16309067.0000
0.1000,2.0000,2048.0000,1578.5882,1173.1764,1266.5000,NaN,15463348.0000
0.1000,2.0000,4096.0000,1586.1552,1155.9164,1270.5000,NaN,15505823.0000
0.1000,4.0000,32.0000,1534.5796,1170.0132,1203.5000,NaN,15036600.0000
0.1000,4.0000,64.0000,1491.9351,1107.3724,1185.5000,NaN,14598233.0000
0.1000,4.0000,128.0000,1493.4177,1152.9655,1207.5000,NaN,14684066.0000
0.1000,4.0000,256.0000,1516.0554,1125.8503,1228.0000,NaN,14855726.0000
0.1000,4.0000,512.0000,1566.8708,1155.1040,1209.0000,NaN,15333776.0000
0.1000,4.0000,1024.0000,1535.2457,1132.8580,1221.5000,NaN,15039914.0000
0.1000,4.0000,2048.0000,1637.4741,1233.0378,1280.0000,NaN,16048109.0000
0.1000,4.0000,4096.0000,1592.2302,1186.3731,1270.5000,NaN,15563923.0000
0.1000,8.0000,32.0000,1487.7693,1134.3462,1206.0000,NaN,14611227.0000
0.1000,8.0000,64.0000,1484.6910,1136.4483,1194.0000,NaN,14584815.0000
0.1000,8.0000,128.0000,1553.1640,1149.7370,1187.0000,NaN,15203230.0000
0.1000,8.0000,256.0000,1526.6055,1123.4181,1199.5000,NaN,14941254.0000
0.1000,8.0000,512.0000,1547.2866,1150.4250,1236.5000,NaN,15187972.0000
0.1000,8.0000,1024.0000,1528.7697,1169.6014,1227.5000,NaN,14998388.0000
0.1000,8.0000,2048.0000,1589.8029,1170.6351,1253.0000,NaN,15591185.0000
0.1000,8.0000,4096.0000,1712.8003,1261.9458,1309.5000,NaN,16756937.0000
0.1000,16.0000,32.0000,1520.2883,1144.1415,1223.0000,NaN,14935006.0000
0.1000,16.0000,64.0000,1591.0325,1207.1325,1223.5000,NaN,15600850.0000
0.1000,16.0000,128.0000,1520.3562,1125.6740,1206.5000,NaN,14883910.0000
0.1000,16.0000,256.0000,1505.6600,1131.1219,1199.0000,NaN,14763000.0000
0.1000,16.0000,512.0000,1571.7616,1167.7622,1223.5000,NaN,15382024.0000
0.1000,16.0000,1024.0000,1552.1679,1135.7505,1236.5000,NaN,15199500.0000
0.1000,16.0000,2048.0000,1540.6647,1155.2876,1230.0000,NaN,15091526.0000
0.1000,16.0000,4096.0000,1595.5238,1173.7803,1282.0000,NaN,15640144.0000
0.1000,32.0000,32.0000,1559.3467,1165.1672,1201.5000,NaN,15281954.0000
0.1000,32.0000,64.0000,1533.5403,1154.2452,1200.5000,NaN,15044495.0000
0.1000,32.0000,128.0000,1553.5905,1157.7480,1210.5000,NaN,15212285.0000
0.1000,32.0000,256.0000,1503.3465,1116.6815,1203.5000,NaN,14717008.0000
0.1000,32.0000,512.0000,1509.3301,1116.4589,1204.5000,NaN,14762363.0000
0.1000,32.0000,1024.0000,1492.9320,1106.0010,1198.5000,NaN,14608781.0000
0.1000,32.0000,2048.0000,1533.8089,1110.0041,1222.0000,NaN,14977006.0000
0.1000,32.0000,4096.0000,1656.0461,1252.6584,1289.5000,NaN,16242140.0000
0.3000,2.0000,32.0000,1493.8556,1111.1044,1192.5000,868.5000,13868267.0000
0.3000,2.0000,64.0000,1499.5691,1090.2457,1181.5000,867.5000,13814258.0000
0.3000,2.0000,128.0000,1557.3108,1123.5184,1207.0000,877.5000,14332499.0000
0.3000,2.0000,256.0000,1546.8549,1126.1662,1191.0000,870.5000,14305033.0000
0.3000,2.0000,512.0000,1566.2658,1131.4207,1215.0000,885.5000,14415651.0000
0.3000,2.0000,1024.0000,1561.1702,1138.7418,1221.5000,896.0000,14435686.0000
0.3000,2.0000,2048.0000,1623.7371,1230.7048,1261.5000,900.5000,15125315.0000
0.3000,2.0000,4096.0000,1585.6226,1163.4387,1282.5000,909.0000,14691012.0000
0.3000,4.0000,32.0000,1487.5606,1100.0134,1185.0000,864.0000,13806817.0000
0.3000,4.0000,64.0000,1515.4175,1090.9690,1171.5000,850.0000,13954242.0000
0.3000,4.0000,128.0000,1500.0249,1096.4746,1210.0000,885.0000,13917489.0000
0.3000,4.0000,256.0000,1524.9978,1132.3998,1222.0000,887.5000,14139306.0000
0.3000,4.0000,512.0000,1512.9234,1109.6192,1195.0000,873.0000,14003700.0000
0.3000,4.0000,1024.0000,1572.9405,1133.8507,1225.5000,906.5000,14506906.0000
0.3000,4.0000,2048.0000,1619.0349,1185.5838,1259.5000,919.0000,14976297.0000
0.3000,4.0000,4096.0000,1678.9316,1219.2721,1288.5000,925.0000,15515388.0000
0.3000,8.0000,32.0000,1514.7108,1124.4452,1200.5000,890.5000,14053672.0000
0.3000,8.0000,64.0000,1498.5211,1109.6099,1178.0000,836.5000,13877517.0000
0.3000,8.0000,128.0000,1498.5461,1103.0770,1202.5000,883.0000,13908659.0000
0.3000,8.0000,256.0000,1513.7078,1121.8570,1206.0000,892.5000,14028490.0000
0.3000,8.0000,512.0000,1574.7574,1129.1689,1233.5000,878.5000,14488830.0000
0.3000,8.0000,1024.0000,1579.7429,1134.0315,1249.5000,882.5000,14521910.0000
0.3000,8.0000,2048.0000,1553.0665,1153.2920,1245.5000,900.0000,14432363.0000
0.3000,8.0000,4096.0000,1627.6855,1188.1380,1309.0000,904.0000,15020910.0000
