write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,2427.6423,2724.4723,1494.0000,NaN,24667251.0000
0.1000,2.0000,64.0000,1858.8129,2035.0010,1333.0000,NaN,18847044.0000
0.1000,2.0000,128.0000,1654.3268,1827.4420,1288.5000,NaN,16795610.0000
0.1000,2.0000,256.0000,1658.8584,1822.4644,1272.5000,NaN,16828158.0000
0.1000,2.0000,512.0000,1605.9795,1775.5468,1275.0000,NaN,16297663.0000
0.1000,2.0000,1024.0000,1789.3344,1991.6783,1313.0000,NaN,18164751.0000
0.1000,2.0000,2048.0000,1749.2082,1940.8677,1358.5000,NaN,17769974.0000
0.1000,2.0000,4096.0000,1808.2022,2006.8022,1349.0000,NaN,18354299.0000
0.1000,4.0000,32.0000,1654.4420,1832.6730,1260.0000,NaN,16802560.0000
0.1000,4.0000,64.0000,1655.1894,1844.8647,1272.0000,NaN,16815899.0000
0.1000,4.0000,128.0000,1644.9301,1809.7720,1266.5000,NaN,16673761.0000
0.1000,4.0000,256.0000,1607.4434,1755.4342,1278.5000,NaN,16283201.0000
0.1000,4.0000,512.0000,1662.4242,1843.2956,1302.0000,NaN,16872550.0000
0.1000,4.0000,1024.0000,1668.6706,1829.8591,1291.5000,NaN,16906115.0000
0.1000,4.0000,2048.0000,1672.9762,1823.5489,1295.0000,NaN,16954161.0000
0.1000,4.0000,4096.0000,1697.3948,1889.0706,1345.5000,NaN,17252255.0000
0.1000,8.0000,32.0000,1576.9132,1723.8816,1263.5000,NaN,15980074.0000
0.1000,8.0000,64.0000,1578.0297,1615.8158,1233.5000,NaN,15876046.0000
0.1000,8.0000,128.0000,1588.5678,1672.6909,1221.5000,NaN,16029888.0000
0.1000,8.0000,256.0000,1671.7304,1677.8381,1276.0000,NaN,16785520.0000
0.1000,8.0000,512.0000,1635.2410,1644.5740,1294.0000,NaN,16425326.0000
0.1000,8.0000,1024.0000,1669.3602,1737.1362,1309.0000,NaN,16828870.0000
0.1000,8.0000,2048.0000,1667.7812,1721.9564,1299.0000,NaN,16795138.0000
0.1000,8.0000,4096.0000,1875.2769,1949.5576,1386.5000,NaN,18898987.0000
0.1000,16.0000,32.0000,1601.4746,1653.0632,1278.5000,NaN,16133557.0000
0.1000,16.0000,64.0000,1676.0825,1708.9931,1269.0000,NaN,16852296.0000
0.1000,16.0000,128.0000,1729.2438,1818.7061,1309.0000,NaN,17447576.0000
0.1000,16.0000,256.0000,1712.3172,1777.0352,1291.0000,NaN,17251488.0000
0.1000,16.0000,512.0000,1666.7692,1722.1696,1300.0000,NaN,16794376.0000
0.1000,16.0000,1024.0000,1643.9202,1660.7558,1293.0000,NaN,16519262.0000
0.1000,16.0000,2048.0000,1679.2552,1784.0351,1307.0000,NaN,16966773.0000
0.1000,16.0000,4096.0000,1708.0714,1792.8810,1344.5000,NaN,17227774.0000
0.1000,32.0000,32.0000,1610.6946,1612.7867,1244.5000,NaN,16177141.0000
0.1000,32.0000,64.0000,1610.3719,1671.4374,1261.5000,NaN,16230589.0000
0.1000,32.0000,128.0000,1621.6073,1654.3845,1267.5000,NaN,16309207.0000
0.1000,32.0000,256.0000,1638.5793,1714.4024,1282.0000,NaN,16527520.0000
0.1000,32.0000,512.0000,1605.7263,1685.9111,1264.5000,NaN,16206315.0000
0.1000,32.0000,1024.0000,1719.0515,1768.2062,1315.0000,NaN,17301733.0000
0.1000,32.0000,2048.0000,1700.8909,1792.3585,1332.5000,NaN,17166074.0000
0.1000,32.0000,4096.0000,1700.7391,1793.6760,1313.5000,NaN,17163249.0000
0.3000,2.0000,32.0000,1585.1651,1603.0601,1244.5000,1238.5000,15975661.0000
0.3000,2.0000,64.0000,1640.7421,1677.8193,1254.5000,1292.5000,16590463.0000
0.3000,2.0000,128.0000,1652.6876,1693.7401,1269.5000,1306.0000,16720766.0000
0.3000,2.0000,256.0000,1648.5760,1701.9358,1279.5000,1293.0000,16712060.0000
0.3000,2.0000,512.0000,1734.3350,1769.1854,1324.0000,1337.0000,17518295.0000
0.3000,2.0000,1024.0000,1682.4990,1715.2058,1311.5000,1323.5000,16992832.0000
0.3000,2.0000,2048.0000,1722.3111,1769.7454,1320.5000,1358.5000,17444812.0000
0.3000,2.0000,4096.0000,1707.7006,1764.6266,1349.0000,1383.0000,17327035.0000
0.3000,4.0000,32.0000,1591.9038,1624.1019,1276.5000,1256.5000,16082410.0000
0.3000,4.0000,64.0000,1611.0804,1617.0464,1266.0000,1284.5000,16195720.0000
0.3000,4.0000,128.0000,1602.8661,1620.4149,1263.0000,1285.5000,16147214.0000
0.3000,4.0000,256.0000,1610.2075,1621.5437,1283.0000,1291.0000,16206423.0000
0.3000,4.0000,512.0000,1597.1816,1652.0849,1261.5000,1298.5000,16203507.0000
0.3000,4.0000,1024.0000,1632.2237,1678.5545,1286.0000,1310.0000,16530298.0000
0.3000,4.0000,2048.0000,1643.5975,1678.5885,1280.0000,1309.5000,16618841.0000
0.3000,4.0000,4096.0000,1762.7159,1823.3466,1373.0000,1399.5000,17888816.0000
0.3000,8.0000,32.0000,1706.2637,1748.8708,1310.0000,1283.5000,17266694.0000
0.3000,8.0000,64.0000,1626.7517,1671.5110,1233.5000,1274.0000,16474811.0000
0.3000,8.0000,128.0000,1640.1766,1701.0572,1278.0000,1287.0000,16647400.0000
0.3000,8.0000,256.0000,1650.7220,1696.2089,1295.5000,1302.5000,16721323.0000
0.3000,8.0000,512.0000,1810.3621,1843.0442,1338.5000,1358.0000,18278224.0000
0.3000,8.0000,1024.0000,1631.7975,1645.0256,1297.5000,1306.5000,16434797.0000
0.3000,8.0000,2048.0000,1777.6686,1841.3610,1363.0000,1358.0000,18051410.0000
0.3000,8.0000,4096.0000,1801.9625,1855.4769,1365.0000,1410.5000,18265362.0000
0.3000,16.0000,32.0000,1673.4409,1761.9740,1267.0000,1322.5000,17073451.0000
0.3000,16.0000,64.0000,1630.5275,1655.9050,1261.5000,1304.5000,16454172.0000
0.3000,16.0000,128.0000,1610.4687,1614.9568,1280.0000,1284.5000,16191599.0000
