write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,1941.9565,2163.5505,1351.5000,NaN,19724339.0000
0.1000,2.0000,64.0000,1734.6446,1907.5855,1248.5000,NaN,17605369.0000
0.1000,2.0000,128.0000,1624.9599,1845.1707,1263.5000,NaN,16556633.0000
0.1000,2.0000,256.0000,1663.7513,1825.0180,1261.0000,NaN,16885607.0000
0.1000,2.0000,512.0000,1636.7779,1823.5468,1274.5000,NaN,16637620.0000
0.1000,2.0000,1024.0000,1674.6450,1844.2148,1286.0000,NaN,16991645.0000
0.1000,2.0000,2048.0000,1657.4583,1842.6353,1316.5000,NaN,16841720.0000
0.1000,2.0000,4096.0000,1726.9431,1923.8828,1335.0000,NaN,17543405.0000
0.1000,4.0000,32.0000,1671.5728,1821.7514,1251.5000,NaN,16951874.0000
0.1000,4.0000,64.0000,1656.7288,1836.1574,1285.0000,NaN,16829815.0000
0.1000,4.0000,128.0000,1616.2086,1761.2584,1270.0000,NaN,16374068.0000
0.1000,4.0000,256.0000,1653.4451,1818.7930,1310.5000,NaN,16774034.0000
0.1000,4.0000,512.0000,1632.8157,1784.8644,1270.0000,NaN,16551901.0000
0.1000,4.0000,1024.0000,1690.8236,1867.2808,1288.5000,NaN,17150035.0000
0.1000,4.0000,2048.0000,1668.9464,1861.1055,1306.5000,NaN,16961750.0000
0.1000,4.0000,4096.0000,1747.4304,1863.1650,1349.5000,NaN,17679521.0000
0.1000,8.0000,32.0000,1721.7885,1764.5931,1250.0000,NaN,17331784.0000
0.1000,8.0000,64.0000,1578.5198,1604.8199,1223.0000,NaN,15885664.0000
0.1000,8.0000,128.0000,1656.0311,1725.2110,1259.0000,NaN,16702158.0000
0.1000,8.0000,256.0000,1656.3215,1710.3143,1280.0000,NaN,16688244.0000
0.1000,8.0000,512.0000,1603.1466,1660.1522,1259.5000,NaN,16160338.0000
0.1000,8.0000,1024.0000,1678.6149,1725.1670,1301.5000,NaN,16906270.0000
0.1000,8.0000,2048.0000,1671.5634,1783.3991,1318.5000,NaN,16896041.0000
0.1000,8.0000,4096.0000,1712.7399,1817.9084,1326.0000,NaN,17309822.0000
0.1000,16.0000,32.0000,1623.7842,1663.2605,1240.5000,NaN,16345219.0000
0.1000,16.0000,64.0000,1622.4540,1680.6578,1263.5000,NaN,16357496.0000
0.1000,16.0000,128.0000,1672.0999,1710.0792,1270.0000,NaN,16833412.0000
0.1000,16.0000,256.0000,1726.7530,1772.1370,1301.0000,NaN,17384663.0000
0.1000,16.0000,512.0000,1630.8561,1661.1745,1283.0000,NaN,16411133.0000
