write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,2030.6976,2388.5238,1378.0000,NaN,20746847.0000
0.1000,2.0000,64.0000,1779.8712,1950.4797,1262.0000,NaN,18052045.0000
0.1000,2.0000,128.0000,1622.4535,1896.5743,1256.5000,NaN,16582534.0000
0.1000,2.0000,256.0000,1639.0986,1848.6619,1241.5000,NaN,16686078.0000
0.1000,2.0000,512.0000,1582.9591,1791.1762,1260.0000,NaN,16116158.0000
0.1000,2.0000,1024.0000,1681.8190,1887.4923,1292.0000,NaN,17091477.0000
0.1000,2.0000,2048.0000,1649.7780,1904.9369,1295.0000,NaN,16829149.0000
0.1000,2.0000,4096.0000,1713.2980,1914.9867,1360.5000,NaN,17406281.0000
0.1000,4.0000,32.0000,1549.2438,1725.3828,1235.5000,NaN,15750180.0000
0.1000,4.0000,64.0000,1541.5781,1720.8896,1213.5000,NaN,15677533.0000
0.1000,4.0000,128.0000,1612.5355,1838.3985,1231.5000,NaN,16412796.0000
0.1000,4.0000,256.0000,1626.4490,1781.0020,1254.5000,NaN,16493130.0000
0.1000,4.0000,512.0000,1585.8706,1768.8654,1253.5000,NaN,16111315.0000
0.1000,4.0000,1024.0000,1683.1810,1847.6326,1269.0000,NaN,17064256.0000
0.1000,4.0000,2048.0000,1759.9411,1952.9652,1291.5000,NaN,17874122.0000
0.1000,4.0000,4096.0000,1682.6704,1928.9844,1330.0000,NaN,17173923.0000
0.1000,8.0000,32.0000,1561.5707,1604.7439,1218.0000,NaN,15732490.0000
0.1000,8.0000,64.0000,1535.0980,1587.4043,1229.0000,NaN,15473725.0000
0.1000,8.0000,128.0000,1542.1784,1633.5417,1227.0000,NaN,15585455.0000
0.1000,8.0000,256.0000,1602.6727,1670.7528,1250.5000,NaN,16167864.0000
0.1000,8.0000,512.0000,1573.4277,1641.9181,1244.5000,NaN,15873563.0000
0.1000,8.0000,1024.0000,1693.2159,1726.1163,1280.0000,NaN,17041510.0000
0.1000,8.0000,2048.0000,1710.8537,1797.5823,1334.5000,NaN,17266083.0000
0.1000,8.0000,4096.0000,1733.8406,1799.8315,1367.5000,NaN,17484470.0000
0.1000,16.0000,32.0000,1637.9776,1643.3805,1246.0000,NaN,16462415.0000
0.1000,16.0000,64.0000,1540.7302,1555.8605,1224.0000,NaN,15494174.0000
0.1000,16.0000,128.0000,1544.6842,1569.8164,1242.5000,NaN,15541678.0000
0.1000,16.0000,256.0000,1574.5300,1614.3565,1235.5000,NaN,15854262.0000
0.1000,16.0000,512.0000,1574.1786,1557.8471,1267.0000,NaN,15798729.0000
0.1000,16.0000,1024.0000,1640.7705,1737.7229,1255.5000,NaN,16572107.0000
0.1000,16.0000,2048.0000,1714.0187,1756.0701,1310.0000,NaN,17261121.0000
0.1000,16.0000,4096.0000,1736.1877,1810.7089,1362.0000,NaN,17509473.0000
0.1000,32.0000,32.0000,1686.9235,1755.4985,1261.5000,NaN,17012089.0000
0.1000,32.0000,64.0000,1616.8603,1639.7030,1237.0000,NaN,16261285.0000
0.1000,32.0000,128.0000,1583.3990,1645.0492,1268.5000,NaN,15968172.0000
0.1000,32.0000,256.0000,1593.8753,1645.8935,1278.5000,NaN,16065757.0000
0.1000,32.0000,512.0000,1590.8193,1630.6986,1250.0000,NaN,16024222.0000
0.1000,32.0000,1024.0000,1611.7367,1619.3495,1297.5000,NaN,16197387.0000
0.1000,32.0000,2048.0000,1702.9305,1766.6976,1337.5000,NaN,17169822.0000
0.1000,32.0000,4096.0000,1711.2336,1774.2139,1357.5000,NaN,17248948.0000
0.3000,2.0000,32.0000,1680.1025,1761.0538,1250.5000,1262.0000,17120638.0000
0.3000,2.0000,64.0000,1626.7293,1665.8157,1250.0000,1280.5000,16470652.0000
0.3000,2.0000,128.0000,1619.2460,1689.9075,1285.0000,1282.5000,16488979.0000
0.3000,2.0000,256.0000,1661.1020,1705.8423,1248.5000,1254.0000,16823237.0000
0.3000,2.0000,512.0000,1599.0334,1614.6423,1252.5000,1288.5000,16116636.0000
0.3000,2.0000,1024.0000,1597.0799,1645.5306,1258.5000,1287.0000,16192306.0000
0.3000,2.0000,2048.0000,1624.3903,1680.6153,1298.0000,1349.5000,16501362.0000
