write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,2050.0369,2193.0634,1397.0000,NaN,20745177.0000
0.1000,2.0000,64.0000,1712.8991,1878.9845,1310.5000,NaN,17401753.0000
0.1000,2.0000,128.0000,1716.1551,1969.7833,1344.0000,NaN,17514192.0000
0.1000,2.0000,256.0000,1738.1409,1934.8509,1356.0000,NaN,17681527.0000
0.1000,2.0000,512.0000,1799.6500,2006.3064,1381.5000,NaN,18296016.0000
0.1000,2.0000,1024.0000,1794.1668,2008.0144,1349.5000,NaN,18240470.0000
0.1000,2.0000,2048.0000,1771.8839,1973.6770,1381.0000,NaN,18011417.0000
0.1000,2.0000,4096.0000,1782.2142,1956.4139,1388.0000,NaN,18076798.0000
0.1000,4.0000,32.0000,1768.8903,1920.5491,1338.5000,NaN,17937351.0000
0.1000,4.0000,64.0000,1737.9691,1933.2562,1341.0000,NaN,17672794.0000
0.1000,4.0000,128.0000,1732.3456,1924.8044,1317.0000,NaN,17598168.0000
0.1000,4.0000,256.0000,1785.6589,1997.9417,1360.5000,NaN,18172945.0000
0.1000,4.0000,512.0000,1834.3967,2022.1570,1367.0000,NaN,18629926.0000
0.1000,4.0000,1024.0000,1785.9208,1946.1044,1367.0000,NaN,18111506.0000
0.1000,4.0000,2048.0000,1831.4315,2019.3001,1400.5000,NaN,18601342.0000
0.1000,4.0000,4096.0000,1775.7978,1868.1815,1392.0000,NaN,17940252.0000
0.1000,8.0000,32.0000,1679.2608,1768.4767,1302.0000,NaN,16977035.0000
0.1000,8.0000,64.0000,1746.9316,1816.3787,1329.0000,NaN,17638529.0000
0.1000,8.0000,128.0000,1670.9782,1709.6320,1314.0000,NaN,16829152.0000
0.1000,8.0000,256.0000,1721.4080,1768.3754,1332.0000,NaN,17360435.0000
0.1000,8.0000,512.0000,1713.8448,1753.9433,1336.0000,NaN,17273284.0000
0.1000,8.0000,1024.0000,1780.7085,1848.9483,1351.5000,NaN,17970579.0000
