write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,1118.3436,1313.7297,851.0000,NaN,11456949.0000
0.1000,2.0000,64.0000,1089.0647,1259.0560,855.5000,NaN,11140911.0000
0.1000,2.0000,128.0000,1140.1610,1313.9616,883.5000,NaN,11665567.0000
0.1000,2.0000,256.0000,1108.6390,1257.3504,866.5000,NaN,11318429.0000
0.1000,2.0000,512.0000,1133.5648,1285.9241,882.0000,NaN,11574521.0000
0.1000,2.0000,1024.0000,1161.3015,1323.3361,886.5000,NaN,11844473.0000
0.1000,2.0000,2048.0000,1175.9944,1362.8265,903.5000,NaN,12034319.0000
0.1000,2.0000,4096.0000,1170.9308,1341.5872,907.5000,NaN,11958250.0000
0.1000,4.0000,32.0000,1185.2508,1333.7533,864.5000,NaN,12091922.0000
0.1000,4.0000,64.0000,1093.6947,1241.6609,861.5000,NaN,11160894.0000
0.1000,4.0000,128.0000,1144.9050,1322.4079,871.5000,NaN,11699135.0000
0.1000,4.0000,256.0000,1110.6445,1240.9156,870.0000,NaN,11321838.0000
0.1000,4.0000,512.0000,1142.0386,1282.4230,872.5000,NaN,11643338.0000
0.1000,4.0000,1024.0000,1194.0457,1356.2161,893.5000,NaN,12176515.0000
0.1000,4.0000,2048.0000,1125.8906,1270.5334,890.0000,NaN,11490928.0000
0.1000,4.0000,4096.0000,1123.5193,1266.6700,893.0000,NaN,11472218.0000
0.1000,8.0000,32.0000,1086.4987,1232.5425,868.0000,NaN,11085532.0000
0.1000,8.0000,64.0000,1063.1666,1228.4094,844.5000,NaN,10865467.0000
0.1000,8.0000,128.0000,1114.3477,1266.2240,866.0000,NaN,11378998.0000
0.1000,8.0000,256.0000,1120.6622,1263.7854,865.5000,NaN,11410062.0000
0.1000,8.0000,512.0000,1260.3495,1396.3379,906.5000,NaN,12806364.0000
0.1000,8.0000,1024.0000,1147.7468,1308.3241,884.0000,NaN,11715355.0000
0.1000,8.0000,2048.0000,1180.4794,1367.6412,902.0000,NaN,12052023.0000
0.1000,8.0000,4096.0000,1180.8682,1342.4788,913.0000,NaN,12047842.0000
0.1000,16.0000,32.0000,1069.5137,1252.5466,851.0000,NaN,10938148.0000
0.1000,16.0000,64.0000,1062.8503,1219.8744,849.0000,NaN,10859088.0000
0.1000,16.0000,128.0000,1067.2508,1204.6690,849.5000,NaN,10872934.0000
0.1000,16.0000,256.0000,1092.8188,1219.1480,861.5000,NaN,11126105.0000
0.1000,16.0000,512.0000,1093.8598,1264.2524,874.5000,NaN,11180041.0000
0.1000,16.0000,1024.0000,1121.8810,1254.6327,889.5000,NaN,11421037.0000
0.1000,16.0000,2048.0000,1111.4578,1262.1473,885.0000,NaN,11331184.0000
0.1000,16.0000,4096.0000,1198.8227,1370.9903,918.5000,NaN,12210851.0000
0.1000,32.0000,32.0000,1088.3470,1247.2696,854.5000,NaN,11110272.0000
0.1000,32.0000,64.0000,1088.4578,1234.7040,833.5000,NaN,11088394.0000
0.1000,32.0000,128.0000,1065.4848,1207.9719,856.5000,NaN,10853165.0000
0.1000,32.0000,256.0000,1180.0519,1382.8659,868.0000,NaN,12074092.0000
0.1000,32.0000,512.0000,1136.0037,1294.8860,868.5000,NaN,11595598.0000
0.1000,32.0000,1024.0000,1181.7629,1349.0289,882.0000,NaN,12045625.0000
0.1000,32.0000,2048.0000,1193.2879,1352.9766,924.0000,NaN,12182636.0000
0.1000,32.0000,4096.0000,1262.4113,1441.7850,944.5000,NaN,12892251.0000
0.3000,2.0000,32.0000,1195.6507,1320.6507,854.5000,932.0000,12407516.0000
0.3000,2.0000,64.0000,1100.0290,1225.5157,862.5000,914.0000,11453770.0000
0.3000,2.0000,128.0000,1132.0049,1238.7075,877.5000,937.5000,11724833.0000
0.3000,2.0000,256.0000,1109.6028,1212.4601,864.5000,906.0000,11466584.0000
0.3000,2.0000,512.0000,1145.3046,1256.1720,891.5000,941.0000,11860435.0000
0.3000,2.0000,1024.0000,1133.3821,1233.7280,896.5000,925.5000,11710639.0000
0.3000,2.0000,2048.0000,1176.9383,1283.9019,899.0000,938.5000,12173247.0000
0.3000,2.0000,4096.0000,1241.9888,1392.5176,910.5000,1024.0000,12947223.0000
0.3000,4.0000,32.0000,1124.8299,1209.0363,862.5000,936.5000,11576252.0000
0.3000,4.0000,64.0000,1147.0357,1285.3431,863.0000,923.0000,11951787.0000
0.3000,4.0000,128.0000,1089.8579,1197.5523,851.5000,941.5000,11278132.0000
0.3000,4.0000,256.0000,1116.6299,1198.5910,859.5000,909.5000,11485848.0000
0.3000,4.0000,512.0000,1107.6668,1189.9660,888.0000,913.5000,11402123.0000
0.3000,4.0000,1024.0000,1122.9262,1220.6063,891.0000,919.0000,11596027.0000
0.3000,4.0000,2048.0000,1141.5015,1261.8155,909.0000,945.5000,11868088.0000
0.3000,4.0000,4096.0000,1177.3747,1297.7575,926.0000,983.5000,12227999.0000
0.3000,8.0000,32.0000,1077.4267,1187.8996,850.5000,913.0000,11178658.0000
0.3000,8.0000,64.0000,1152.7266,1253.3960,854.0000,904.0000,11908694.0000
0.3000,8.0000,128.0000,1094.8494,1186.5157,859.5000,908.5000,11290164.0000
0.3000,8.0000,256.0000,1110.3141,1193.7865,875.0000,911.0000,11443511.0000
0.3000,8.0000,512.0000,1130.6485,1210.5535,884.5000,932.0000,11614650.0000
0.3000,8.0000,1024.0000,1175.3007,1287.2805,889.0000,930.0000,12175337.0000
0.3000,8.0000,2048.0000,1166.5970,1307.9455,883.0000,965.0000,12169514.0000
0.3000,8.0000,4096.0000,1188.2542,1316.6338,915.0000,1008.0000,12366743.0000
0.3000,16.0000,32.0000,1117.7696,1215.4466,867.5000,927.0000,11549761.0000
0.3000,16.0000,64.0000,1102.7874,1195.3575,848.5000,913.5000,11366512.0000
0.3000,16.0000,128.0000,1151.8618,1276.4503,855.0000,886.0000,11963927.0000
0.3000,16.0000,256.0000,1093.1132,1185.3230,870.0000,938.0000,11281287.0000
0.3000,16.0000,512.0000,1182.0433,1250.5889,887.0000,966.5000,12108905.0000
0.3000,16.0000,1024.0000,1119.8871,1204.1039,882.0000,945.5000,11533721.0000
0.3000,16.0000,2048.0000,1120.5392,1229.4783,878.5000,958.0000,11607789.0000
0.3000,16.0000,4096.0000,1163.5484,1287.7429,916.0000,988.0000,12088311.0000
0.3000,32.0000,32.0000,1095.0204,1195.2668,845.0000,919.5000,11333225.0000
0.3000,32.0000,64.0000,1198.2331,1297.6350,877.0000,963.5000,12355539.0000
0.3000,32.0000,128.0000,1106.8009,1216.1246,862.0000,912.5000,11476511.0000
0.3000,32.0000,256.0000,1158.1850,1260.6041,871.0000,950.5000,11969862.0000
