write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,2016.6138,2142.3307,1229.0000,NaN,20397364.0000
0.1000,2.0000,64.0000,1582.9244,1598.1440,1063.0000,NaN,15937204.0000
0.1000,2.0000,128.0000,1428.1517,1516.1390,1040.5000,NaN,14461826.0000
0.1000,2.0000,256.0000,1373.5700,1523.1368,1038.5000,NaN,13985765.0000
0.1000,2.0000,512.0000,1348.4194,1435.8946,994.5000,NaN,13653796.0000
0.1000,2.0000,1024.0000,1502.8770,1584.4286,1053.5000,NaN,15195902.0000
0.1000,2.0000,2048.0000,1485.8126,1605.0741,1073.0000,NaN,15069932.0000
0.1000,2.0000,4096.0000,1456.2126,1633.9653,1087.0000,NaN,14828370.0000
0.1000,4.0000,32.0000,1342.5012,1493.3743,1008.0000,NaN,13668299.0000
0.1000,4.0000,64.0000,1356.9498,1448.6929,1025.0000,NaN,13759734.0000
0.1000,4.0000,128.0000,1348.6994,1402.8096,999.0000,NaN,13627613.0000
0.1000,4.0000,256.0000,1356.0914,1439.0854,1029.5000,NaN,13729303.0000
0.1000,4.0000,512.0000,1368.0033,1424.8675,1018.0000,NaN,13823411.0000
0.1000,4.0000,1024.0000,1396.8997,1448.0866,1029.0000,NaN,14106091.0000
0.1000,4.0000,2048.0000,1435.0843,1538.1588,1060.5000,NaN,14549344.0000
0.1000,4.0000,4096.0000,1418.9393,1555.4849,1049.0000,NaN,14425144.0000
0.1000,8.0000,32.0000,1352.7858,1345.8401,1006.5000,NaN,13604980.0000
0.1000,8.0000,64.0000,1341.2485,1329.6049,994.0000,NaN,13488175.0000
0.1000,8.0000,128.0000,1373.1171,1356.7949,1014.5000,NaN,13806213.0000
0.1000,8.0000,256.0000,1424.8024,1453.5473,1053.0000,NaN,14360129.0000
0.1000,8.0000,512.0000,1385.2007,1349.6495,1019.0000,NaN,13903810.0000
0.1000,8.0000,1024.0000,1369.0673,1318.9443,1022.0000,NaN,13727552.0000
0.1000,8.0000,2048.0000,1449.1431,1423.3675,1061.5000,NaN,14559621.0000
0.1000,8.0000,4096.0000,1420.5496,1420.1754,1053.5000,NaN,14294095.0000
0.1000,16.0000,32.0000,1365.6194,1323.0214,1011.5000,NaN,13704639.0000
0.1000,16.0000,64.0000,1368.8306,1308.5955,1019.0000,NaN,13714424.0000
0.1000,16.0000,128.0000,1382.1964,1341.2608,1019.0000,NaN,13879886.0000
0.1000,16.0000,256.0000,1504.6667,1435.6969,1080.5000,NaN,15065779.0000
0.1000,16.0000,512.0000,1423.4749,1376.0283,1049.5000,NaN,14279949.0000
