write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,1004.8822,0.8683,587.0000,0.0000,103944.0000
0.1000,2.0000,64.0000,976.8703,0.7173,588.0000,0.0000,99949.0000
0.1000,2.0000,128.0000,958.0897,0.6594,590.0000,0.0000,97245.0000
0.1000,2.0000,256.0000,957.1266,0.6573,588.5000,0.0000,97231.0000
0.1000,2.0000,512.0000,977.1944,0.6436,589.0000,0.0000,99032.0000
0.1000,2.0000,1024.0000,986.4534,0.6621,596.0000,0.0000,100124.0000
0.1000,2.0000,2048.0000,1002.6096,0.6870,613.0000,0.0000,101822.0000
0.1000,2.0000,4096.0000,1043.8815,0.7007,627.0000,0.0000,105940.0000
0.1000,4.0000,32.0000,941.9287,0.6648,586.5000,0.0000,95894.0000
0.1000,4.0000,64.0000,921.6430,0.6030,556.0000,0.0000,93720.0000
0.1000,4.0000,128.0000,943.8693,0.6414,599.0000,0.0000,95894.0000
0.1000,4.0000,256.0000,945.3704,0.6572,595.0000,0.0000,96053.0000
0.1000,4.0000,512.0000,942.0113,0.6478,595.0000,0.0000,95640.0000
0.1000,4.0000,1024.0000,951.9106,0.6489,599.0000,0.0000,96492.0000
0.1000,4.0000,2048.0000,991.2093,0.7041,613.0000,0.0000,100719.0000
0.1000,4.0000,4096.0000,1010.3680,0.7119,628.0000,0.0000,102547.0000
0.1000,8.0000,32.0000,913.4986,0.6041,581.0000,0.0000,92575.0000
0.1000,8.0000,64.0000,951.5819,0.6420,589.0000,0.0000,96537.0000
0.1000,8.0000,128.0000,936.8788,0.6426,590.5000,0.0000,95133.0000
0.1000,8.0000,256.0000,928.0595,0.6290,595.0000,0.0000,94202.0000
0.1000,8.0000,512.0000,953.7631,0.6572,597.0000,0.0000,96785.0000
0.1000,8.0000,1024.0000,969.7133,0.6623,600.0000,0.0000,98344.0000
0.1000,8.0000,2048.0000,1032.4110,0.7128,618.0000,0.0000,104819.0000
0.1000,8.0000,4096.0000,1054.4115,0.7454,630.0000,0.0000,107170.0000
0.1000,16.0000,32.0000,941.2810,0.6328,591.0000,0.0000,95514.0000
0.1000,16.0000,64.0000,918.7694,0.5976,589.0000,0.0000,93254.0000
0.1000,16.0000,128.0000,949.4865,0.6430,595.0000,0.0000,96285.0000
0.1000,16.0000,256.0000,953.8650,0.6548,601.0000,0.0000,96817.0000
0.1000,16.0000,512.0000,946.1657,0.6556,598.0000,0.0000,96043.0000
0.1000,16.0000,1024.0000,969.4504,0.6728,606.0000,0.0000,98377.0000
0.1000,16.0000,2048.0000,991.9823,0.7016,619.0000,0.0000,100678.0000
0.1000,16.0000,4096.0000,1008.7105,0.7168,632.0000,0.0000,102505.0000
0.1000,32.0000,32.0000,939.1521,0.6536,593.0000,0.0000,95512.0000
0.1000,32.0000,64.0000,955.0955,0.6730,594.0000,0.0000,97088.0000
0.1000,32.0000,128.0000,936.2878,0.6239,591.0000,0.0000,95090.0000
0.1000,32.0000,256.0000,936.6211,0.6408,592.0000,0.0000,95076.0000
0.1000,32.0000,512.0000,1007.2768,0.7181,623.0000,0.0000,102419.0000
0.1000,32.0000,1024.0000,980.1217,0.6881,611.0000,0.0000,99463.0000
0.1000,32.0000,2048.0000,971.7848,0.6721,612.5000,0.0000,98547.0000
0.1000,32.0000,4096.0000,1025.2538,0.7371,635.0000,0.0000,104169.0000
0.3000,2.0000,32.0000,983.3033,0.5985,598.5000,0.0000,99881.0000
0.3000,2.0000,64.0000,954.2378,0.5488,589.0000,0.0000,97105.0000
0.3000,2.0000,128.0000,993.4033,0.6194,594.0000,0.0000,101354.0000
0.3000,2.0000,256.0000,1004.7910,0.6497,600.5000,0.0000,102399.0000
0.3000,2.0000,512.0000,975.2268,0.6119,597.0000,0.0000,99414.0000
0.3000,2.0000,1024.0000,1005.1832,0.6439,600.5000,0.0000,102284.0000
0.3000,2.0000,2048.0000,1028.7741,0.6778,619.5000,0.0000,104863.0000
0.3000,2.0000,4096.0000,1048.4470,0.7048,638.0000,0.0000,107031.0000
0.3000,4.0000,32.0000,955.2777,0.5408,596.0000,0.0000,97243.0000
0.3000,4.0000,64.0000,958.3872,0.5779,599.0000,0.0000,98019.0000
0.3000,4.0000,128.0000,946.4611,0.5614,598.5000,0.0000,96467.0000
0.3000,4.0000,256.0000,964.2025,0.5844,601.0000,0.0000,98421.0000
