write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,1.0000,8.0000,1.0365,0.7716,1.0000,0.0000,140554.0000
0.1000,1.0000,16.0000,1.0335,0.7580,1.0000,0.0000,140355.0000
0.1000,1.0000,32.0000,1.0324,0.7388,1.0000,0.0000,139539.0000
0.1000,1.0000,64.0000,1.0357,0.7670,1.0000,0.0000,141108.0000
0.1000,1.0000,128.0000,1.0331,0.7876,1.0000,0.0000,141147.0000
0.1000,1.0000,256.0000,1.0376,0.8201,1.0000,0.0000,142470.0000
0.1000,2.0000,8.0000,1.0338,0.7399,1.0000,0.0000,140299.0000
0.1000,2.0000,16.0000,1.0331,0.7569,1.0000,0.0000,139931.0000
0.1000,2.0000,32.0000,1.0341,0.7791,1.0000,0.0000,141550.0000
0.1000,2.0000,64.0000,1.0316,0.7462,1.0000,0.0000,139624.0000
0.1000,2.0000,128.0000,1.0344,0.7855,1.0000,0.0000,141630.0000
0.1000,2.0000,256.0000,1.0330,0.8000,1.0000,0.0000,141209.0000
0.1000,4.0000,8.0000,1.0348,0.7004,1.0000,0.0000,139278.0000
0.1000,4.0000,16.0000,1.0310,0.6952,1.0000,0.0000,139006.0000
0.1000,4.0000,32.0000,1.0346,0.7175,1.0000,0.0000,139430.0000
0.1000,4.0000,64.0000,1.0354,0.7268,1.0000,0.0000,140029.0000
0.1000,4.0000,128.0000,1.0322,0.7430,1.0000,0.0000,139953.0000
0.1000,4.0000,256.0000,1.0383,0.8187,1.0000,0.0000,143090.0000
0.1000,8.0000,8.0000,1.0325,0.7333,1.0000,0.0000,139303.0000
0.1000,8.0000,16.0000,1.0319,0.7312,1.0000,0.0000,139668.0000
0.1000,8.0000,32.0000,1.0348,0.7605,1.0000,0.0000,140526.0000
0.1000,8.0000,64.0000,1.0339,0.7680,1.0000,0.0000,140401.0000
0.1000,8.0000,128.0000,1.0366,0.7795,1.0000,0.0000,141170.0000
0.1000,8.0000,256.0000,1.0341,0.8061,1.0000,0.0000,141376.0000
0.1000,16.0000,8.0000,1.0345,0.7298,1.0000,0.0000,140018.0000
0.1000,16.0000,16.0000,1.0347,0.7603,1.0000,0.0000,140361.0000
0.1000,16.0000,32.0000,1.0360,0.8026,1.0000,0.0000,142043.0000
