write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,1.0000,4.0000,1.1548,1.0584,1.0000,1.0000,168426.0000
0.1000,1.0000,8.0000,1.0491,1.0300,1.0000,0.0000,154435.0000
0.1000,1.0000,16.0000,1.0687,1.0042,1.0000,0.0000,155890.0000
0.1000,1.0000,32.0000,1.0460,0.9861,1.0000,0.0000,152521.0000
0.1000,1.0000,64.0000,1.0560,0.9876,1.0000,0.0000,154605.0000
0.1000,1.0000,128.0000,1.0450,0.9896,1.0000,0.0000,152324.0000
0.1000,1.0000,256.0000,1.0640,0.9984,1.0000,0.0000,156786.0000
0.1000,1.0000,512.0000,1.0505,0.9815,1.0000,0.0000,151397.0000
0.1000,1.0000,1024.0000,1.0535,0.9984,1.0000,0.0000,153503.0000
0.1000,1.0000,2048.0000,1.0514,1.0064,1.0000,0.0000,152985.0000
0.1000,1.0000,4096.0000,1.0794,1.0347,1.0000,0.0000,162447.0000
0.1000,2.0000,4.0000,1.0409,0.9286,1.0000,0.0000,146911.0000
0.1000,2.0000,8.0000,1.0459,0.9506,1.0000,0.0000,151196.0000
0.1000,2.0000,16.0000,1.0401,0.9106,1.0000,0.0000,146105.0000
0.1000,2.0000,32.0000,1.0439,0.9536,1.0000,0.0000,150828.0000
0.1000,2.0000,64.0000,1.0416,0.9664,1.0000,0.0000,148131.0000
0.1000,2.0000,128.0000,1.0474,1.0159,1.0000,0.0000,154339.0000
0.1000,2.0000,256.0000,1.0430,0.9960,1.0000,0.0000,151337.0000
0.1000,2.0000,512.0000,1.0515,1.0105,1.0000,0.0000,154172.0000
0.1000,2.0000,1024.0000,1.0465,0.9889,1.0000,0.0000,151498.0000
0.1000,2.0000,2048.0000,1.0807,1.0268,1.0000,0.0000,160767.0000
0.1000,2.0000,4096.0000,1.0707,1.0299,1.0000,0.0000,160051.0000
0.1000,4.0000,4.0000,1.0502,0.9109,1.0000,0.0000,148132.0000
0.1000,4.0000,8.0000,1.0398,0.9601,1.0000,0.0000,148419.0000
0.1000,4.0000,16.0000,1.0467,0.9755,1.0000,0.0000,151586.0000
0.1000,4.0000,32.0000,1.0408,0.9666,1.0000,0.0000,149351.0000
0.1000,4.0000,64.0000,1.0464,0.9908,1.0000,0.0000,151947.0000
0.1000,4.0000,128.0000,1.0397,0.9699,1.0000,0.0000,147801.0000
0.1000,4.0000,256.0000,1.0468,0.9752,1.0000,0.0000,152565.0000
0.1000,4.0000,512.0000,1.0441,1.0039,1.0000,0.0000,152269.0000
0.1000,4.0000,1024.0000,1.0627,1.0187,1.0000,0.0000,158394.0000
0.1000,4.0000,2048.0000,1.0635,1.0343,1.0000,0.0000,160920.0000
0.1000,4.0000,4096.0000,1.1263,1.0527,1.0000,1.0000,174878.0000
0.1000,8.0000,4.0000,1.0798,1.0272,1.0000,0.0000,162881.0000
0.1000,8.0000,8.0000,1.0903,1.0311,1.0000,0.0000,164441.0000
0.1000,8.0000,16.0000,1.0558,1.0202,1.0000,0.0000,159296.0000
0.1000,8.0000,32.0000,1.0756,1.0258,1.0000,0.0000,161481.0000
0.1000,8.0000,64.0000,1.0478,0.9952,1.0000,0.0000,153565.0000
0.1000,8.0000,128.0000,1.0559,0.9759,1.0000,0.0000,153761.0000
0.1000,8.0000,256.0000,1.0432,0.9680,1.0000,0.0000,149879.0000
0.1000,8.0000,512.0000,1.0525,0.9949,1.0000,0.0000,154801.0000
0.1000,8.0000,1024.0000,1.0487,0.9937,1.0000,0.0000,152735.0000
0.1000,8.0000,2048.0000,1.0658,1.0229,1.0000,0.0000,158493.0000
0.1000,8.0000,4096.0000,1.0660,1.0349,1.0000,0.0000,159730.0000
0.1000,16.0000,4.0000,1.0393,0.9300,1.0000,0.0000,148309.0000
0.1000,16.0000,8.0000,1.0387,0.8955,1.0000,0.0000,146584.0000
0.1000,16.0000,16.0000,1.0416,0.9174,1.0000,0.0000,148307.0000
0.1000,16.0000,32.0000,1.0392,0.9629,1.0000,0.0000,149119.0000
0.1000,16.0000,64.0000,1.0400,0.9487,1.0000,0.0000,150116.0000
0.1000,16.0000,128.0000,1.0487,0.9876,1.0000,0.0000,153407.0000
0.1000,16.0000,256.0000,1.0576,1.0148,1.0000,0.0000,158357.0000
0.1000,16.0000,512.0000,1.0626,1.0142,1.0000,0.0000,159945.0000
0.1000,16.0000,1024.0000,1.0838,1.0385,1.0000,0.0000,166095.0000
0.1000,16.0000,2048.0000,1.0919,1.0575,1.0000,0.0000,168010.0000
0.1000,16.0000,4096.0000,1.1066,1.0546,1.0000,0.0000,169948.0000
0.1000,32.0000,4.0000,1.0378,0.9424,1.0000,0.0000,148640.0000
0.1000,32.0000,8.0000,1.0470,0.9545,1.0000,0.0000,151903.0000
0.1000,32.0000,16.0000,1.0395,0.9424,1.0000,0.0000,148624.0000
0.1000,32.0000,32.0000,1.0436,0.9427,1.0000,0.0000,149938.0000
0.1000,32.0000,64.0000,1.0406,0.9231,1.0000,0.0000,148064.0000
0.1000,32.0000,128.0000,1.0433,0.9523,1.0000,0.0000,150576.0000
