write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,1.0000,8.0000,0.7511,1.1391,0.0000,1.0000,117552.0000
0.1000,1.0000,16.0000,0.6023,1.0243,0.0000,0.0000,107820.0000
0.1000,1.0000,32.0000,0.4889,0.9636,0.0000,0.0000,104487.0000
0.1000,1.0000,64.0000,0.5196,0.9829,0.0000,0.0000,105697.0000
0.1000,1.0000,128.0000,0.4833,0.9793,0.0000,0.0000,104738.0000
0.1000,1.0000,256.0000,0.5035,0.9833,0.0000,0.0000,104543.0000
0.1000,1.0000,1024.0000,0.6053,0.9971,0.0000,0.0000,107007.0000
0.1000,1.0000,2048.0000,0.6961,1.0278,0.0000,0.0000,109614.0000
0.1000,1.0000,4096.0000,0.8684,1.0484,0.0000,1.0000,114494.0000
0.1000,1.0000,0.0000,0.4660,0.9790,0.0000,0.0000,104737.0000
0.1000,1.0000,0.0000,0.3802,0.9766,0.0000,0.0000,102460.0000
0.1000,2.0000,8.0000,0.4381,1.0019,0.0000,0.0000,104027.0000
0.1000,2.0000,16.0000,0.4344,0.9943,0.0000,0.0000,103667.0000
0.1000,2.0000,32.0000,0.3991,0.9861,0.0000,0.0000,102859.0000
0.1000,2.0000,64.0000,0.4436,0.9793,0.0000,0.0000,103935.0000
0.1000,2.0000,128.0000,0.4306,0.9995,0.0000,0.0000,103567.0000
0.1000,2.0000,256.0000,0.4443,0.9981,0.0000,0.0000,103754.0000
0.1000,2.0000,1024.0000,0.5842,1.0036,0.0000,0.0000,106785.0000
0.1000,2.0000,2048.0000,0.6805,1.0368,0.0000,0.0000,108798.0000
0.1000,2.0000,4096.0000,0.8052,1.0373,0.0000,0.5000,111670.0000
0.1000,2.0000,0.0000,0.4185,0.9853,0.0000,0.0000,103494.0000
0.1000,2.0000,0.0000,0.4300,0.9867,0.0000,0.0000,103831.0000
0.1000,4.0000,8.0000,0.4977,1.0124,0.0000,0.0000,104970.0000
0.1000,4.0000,16.0000,0.5120,1.0077,0.0000,0.0000,105480.0000
0.1000,4.0000,32.0000,0.5494,1.0058,0.0000,0.0000,105944.0000
0.1000,4.0000,64.0000,0.5402,1.0127,0.0000,0.0000,105737.0000
0.1000,4.0000,128.0000,0.5419,1.0172,0.0000,0.0000,106011.0000
0.1000,4.0000,256.0000,0.5977,1.0192,0.0000,0.0000,107086.0000
0.1000,4.0000,1024.0000,0.7076,1.0335,0.0000,0.0000,110164.0000
0.1000,4.0000,2048.0000,0.7304,1.0313,0.0000,0.0000,110559.0000
0.1000,4.0000,4096.0000,0.8188,1.0355,0.0000,1.0000,112346.0000
0.1000,4.0000,0.0000,0.5363,1.0129,0.0000,0.0000,105858.0000
0.1000,4.0000,0.0000,0.4842,1.0061,0.0000,0.0000,104938.0000
0.1000,8.0000,8.0000,0.4087,0.9810,0.0000,0.0000,103162.0000
0.1000,8.0000,16.0000,0.4420,0.9717,0.0000,0.0000,103618.0000
0.1000,8.0000,32.0000,0.4026,0.9435,0.0000,0.0000,102809.0000
0.1000,8.0000,64.0000,0.4297,0.9664,0.0000,0.0000,103226.0000
0.1000,8.0000,128.0000,0.3753,0.9430,0.0000,0.0000,102303.0000
0.1000,8.0000,256.0000,0.5472,0.9930,0.0000,0.0000,106249.0000
0.1000,8.0000,1024.0000,0.5765,1.0014,0.0000,0.0000,106517.0000
0.1000,8.0000,2048.0000,0.7204,1.0315,0.0000,0.0000,109910.0000
0.1000,8.0000,4096.0000,0.8686,1.0408,0.0000,1.0000,114827.0000
0.1000,8.0000,0.0000,0.6124,1.0134,0.0000,0.0000,107748.0000
0.1000,8.0000,0.0000,0.6318,1.0092,0.0000,0.0000,107686.0000
0.1000,16.0000,8.0000,0.6943,1.0209,0.0000,0.0000,109680.0000
0.1000,16.0000,16.0000,0.6318,1.0039,0.0000,0.0000,107561.0000
0.1000,16.0000,32.0000,0.7058,1.0113,0.0000,0.0000,109633.0000
0.1000,16.0000,64.0000,0.7674,1.0267,0.0000,0.0000,111382.0000
0.1000,16.0000,128.0000,0.7655,1.0226,0.0000,0.0000,110844.0000
0.1000,16.0000,256.0000,0.7627,1.0329,0.0000,0.0000,111121.0000
0.1000,16.0000,1024.0000,0.7823,1.0325,0.0000,0.0000,111940.0000
0.1000,16.0000,2048.0000,0.7844,1.0333,0.0000,0.0000,111029.0000
0.1000,16.0000,4096.0000,0.9632,1.0590,0.0000,1.0000,118125.0000
0.1000,16.0000,0.0000,0.6851,1.0211,0.0000,0.0000,108916.0000
0.1000,16.0000,0.0000,0.5762,1.0215,0.0000,0.0000,106637.0000
0.1000,32.0000,8.0000,0.6434,1.0149,0.0000,0.0000,108248.0000
0.1000,32.0000,16.0000,0.6419,1.0187,0.0000,0.0000,108004.0000
0.1000,32.0000,32.0000,0.5180,1.0023,0.0000,0.0000,105121.0000
0.1000,32.0000,64.0000,0.4908,0.9895,0.0000,0.0000,104961.0000
0.1000,32.0000,128.0000,0.5729,1.0077,0.0000,0.0000,106598.0000
0.1000,32.0000,256.0000,0.4724,1.0045,0.0000,0.0000,104214.0000
0.1000,32.0000,1024.0000,0.5500,0.9980,0.0000,0.0000,106257.0000
0.1000,32.0000,2048.0000,0.6665,1.0259,0.0000,0.0000,108537.0000
0.1000,32.0000,4096.0000,0.7889,1.0466,0.0000,1.0000,111559.0000
0.1000,32.0000,0.0000,0.4858,1.0210,0.0000,0.0000,105149.0000
0.1000,32.0000,0.0000,0.4191,0.9588,0.0000,0.0000,103305.0000
0.3000,1.0000,8.0000,0.5076,0.8674,0.0000,0.0000,105674.0000
0.3000,1.0000,16.0000,0.6526,0.9361,0.0000,0.0000,109722.0000
0.3000,1.0000,32.0000,0.5897,0.8851,0.0000,0.0000,107363.0000
0.3000,1.0000,64.0000,0.5462,0.8787,0.0000,0.0000,106744.0000
0.3000,1.0000,128.0000,0.6441,0.9085,0.0000,0.0000,108443.0000
0.3000,1.0000,256.0000,0.6126,0.9236,0.0000,0.0000,107815.0000
0.3000,1.0000,1024.0000,0.7448,0.9708,0.0000,0.0000,111423.0000
0.3000,1.0000,2048.0000,0.8887,1.0332,0.0000,0.0000,116355.0000
0.3000,1.0000,4096.0000,0.8976,1.0413,0.0000,0.0000,115782.0000
0.3000,1.0000,0.0000,0.6898,0.9745,0.0000,0.0000,111033.0000
0.3000,1.0000,0.0000,0.6674,0.9783,0.0000,0.0000,110278.0000
0.3000,2.0000,8.0000,0.5214,0.9452,0.0000,0.0000,106627.0000
0.3000,2.0000,16.0000,0.6134,0.9529,0.0000,0.0000,109111.0000
0.3000,2.0000,32.0000,0.5333,0.9215,0.0000,0.0000,107119.0000
0.3000,2.0000,64.0000,0.5428,0.9402,0.0000,0.0000,106851.0000
0.3000,2.0000,128.0000,0.6231,0.9576,0.0000,0.0000,109079.0000
0.3000,2.0000,256.0000,0.5760,0.9329,0.0000,0.0000,108081.0000
0.3000,2.0000,1024.0000,0.5718,0.9497,0.0000,0.0000,107355.0000
0.3000,2.0000,2048.0000,0.8040,1.0258,0.0000,0.0000,114196.0000
0.3000,2.0000,4096.0000,0.8424,1.0325,0.0000,0.0000,115076.0000
0.3000,2.0000,0.0000,0.4352,0.8748,0.0000,0.0000,105004.0000
0.3000,2.0000,0.0000,0.5261,0.9251,0.0000,0.0000,107513.0000
