write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,2.0000,32.0000,0.7447,1.1621,0.0000,1.0000,59241.0000
0.1000,2.0000,64.0000,0.4953,1.0580,0.0000,0.0000,53428.0000
0.1000,2.0000,128.0000,0.5135,1.0337,0.0000,0.0000,53340.0000
0.1000,2.0000,256.0000,0.5063,1.0243,0.0000,0.0000,52960.0000
0.1000,2.0000,512.0000,0.6339,1.0176,0.0000,0.0000,55052.0000
0.1000,2.0000,1024.0000,0.6879,1.0435,0.0000,0.0000,55195.0000
0.1000,2.0000,2048.0000,0.7245,1.0314,0.0000,0.0000,55568.0000
0.1000,2.0000,4096.0000,0.8098,1.0373,0.0000,1.0000,57054.0000
0.1000,4.0000,32.0000,0.4709,1.0200,0.0000,0.0000,52621.0000
0.1000,4.0000,64.0000,0.5000,1.0186,0.0000,0.0000,53034.0000
0.1000,4.0000,128.0000,0.5568,0.9984,0.0000,0.0000,53829.0000
0.1000,4.0000,256.0000,0.5735,1.0125,0.0000,0.0000,53472.0000
0.1000,4.0000,512.0000,0.6258,1.0057,0.0000,0.0000,54104.0000
0.1000,4.0000,1024.0000,0.6540,1.0204,0.0000,0.0000,54778.0000
0.1000,4.0000,2048.0000,0.6884,1.0269,0.0000,0.0000,54972.0000
0.1000,4.0000,4096.0000,0.7907,1.0359,0.0000,0.0000,56243.0000
0.1000,8.0000,32.0000,0.5824,0.9911,0.0000,0.0000,53816.0000
0.1000,8.0000,64.0000,0.5026,0.9976,0.0000,0.0000,52610.0000
0.1000,8.0000,128.0000,0.4908,0.9904,0.0000,0.0000,52420.0000
0.1000,8.0000,256.0000,0.5354,0.9931,0.0000,0.0000,53305.0000
0.1000,8.0000,512.0000,0.5900,1.0257,0.0000,0.0000,53975.0000
0.1000,8.0000,1024.0000,0.6384,1.0254,0.0000,0.0000,54922.0000
0.1000,8.0000,2048.0000,0.7609,1.0288,0.0000,0.0000,56700.0000
0.1000,8.0000,4096.0000,0.8498,1.0339,0.0000,0.0000,57356.0000
0.1000,16.0000,32.0000,0.4638,0.9848,0.0000,0.0000,52764.0000
0.1000,16.0000,64.0000,0.5369,1.0109,0.0000,0.0000,53393.0000
0.1000,16.0000,128.0000,0.5395,0.9966,0.0000,0.0000,53334.0000
0.1000,16.0000,256.0000,0.6110,1.0211,0.0000,0.0000,54813.0000
0.1000,16.0000,512.0000,0.6748,1.0047,0.0000,0.0000,54810.0000
0.1000,16.0000,1024.0000,0.6952,1.0204,0.0000,0.0000,55669.0000
0.1000,16.0000,2048.0000,0.7401,1.0545,0.0000,0.0000,56658.0000
0.1000,16.0000,4096.0000,0.7893,1.0487,0.0000,0.0000,56541.0000
0.1000,32.0000,32.0000,0.4602,0.9744,0.0000,0.0000,52199.0000
0.1000,32.0000,64.0000,0.5701,0.9865,0.0000,0.0000,53626.0000
0.1000,32.0000,128.0000,0.4807,0.9708,0.0000,0.0000,52193.0000
0.1000,32.0000,256.0000,0.5689,1.0072,0.0000,0.0000,53399.0000
0.1000,32.0000,512.0000,0.5842,0.9905,0.0000,0.0000,53861.0000
0.1000,32.0000,1024.0000,0.6070,1.0097,0.0000,0.0000,54132.0000
