write_read_fraction,num_key,data_size,write_average,read_average,ninety_five_write,ninety_five_read,total_time
0.1000,1.0000,8.0000,0.4181,0.9869,0.0000,0.0000,103392.0000
0.1000,1.0000,16.0000,0.3724,0.9647,0.0000,0.0000,102379.0000
0.1000,1.0000,32.0000,0.4452,0.9850,0.0000,0.0000,104531.0000
0.1000,1.0000,64.0000,0.3567,0.9601,0.0000,0.0000,102327.0000
0.1000,1.0000,128.0000,0.3628,0.9451,0.0000,0.0000,102191.0000
0.1000,1.0000,256.0000,0.5085,1.0028,0.0000,0.0000,105613.0000
0.1000,2.0000,8.0000,0.3301,0.9044,0.0000,0.0000,101617.0000
0.1000,2.0000,16.0000,0.3196,0.9168,0.0000,0.0000,101424.0000
0.1000,2.0000,32.0000,0.4401,0.9501,0.0000,0.0000,104381.0000
0.1000,2.0000,64.0000,0.3709,0.9368,0.0000,0.0000,102240.0000
0.1000,2.0000,128.0000,0.3912,0.9344,0.0000,0.0000,102744.0000
0.1000,2.0000,256.0000,0.4836,0.9685,0.0000,0.0000,105390.0000
0.1000,4.0000,8.0000,0.3614,0.9409,0.0000,0.0000,102297.0000
0.1000,4.0000,16.0000,0.3197,0.9060,0.0000,0.0000,101384.0000
0.1000,4.0000,32.0000,0.4290,0.9372,0.0000,0.0000,104284.0000
0.1000,4.0000,64.0000,0.3346,0.9092,0.0000,0.0000,101666.0000
0.1000,4.0000,128.0000,0.3286,0.9130,0.0000,0.0000,101425.0000
0.1000,4.0000,256.0000,0.4395,0.9394,0.0000,0.0000,104433.0000
0.1000,8.0000,8.0000,0.3076,0.8983,0.0000,0.0000,101035.0000
0.1000,8.0000,16.0000,0.2977,0.9046,0.0000,0.0000,100999.0000
0.1000,8.0000,32.0000,0.4186,0.9236,0.0000,0.0000,103386.0000
0.1000,8.0000,64.0000,0.3197,0.9107,0.0000,0.0000,101210.0000
0.1000,8.0000,128.0000,0.3108,0.9154,0.0000,0.0000,101061.0000
0.1000,8.0000,256.0000,0.4709,0.9612,0.0000,0.0000,104361.0000
0.1000,16.0000,8.0000,0.3204,0.8952,0.0000,0.0000,101313.0000
0.1000,16.0000,16.0000,0.3106,0.9114,0.0000,0.0000,101093.0000
0.1000,16.0000,32.0000,0.4041,0.9415,0.0000,0.0000,103559.0000
0.1000,16.0000,64.0000,0.3735,0.9387,0.0000,0.0000,102480.0000
0.1000,16.0000,128.0000,0.3718,0.9446,0.0000,0.0000,102257.0000
0.1000,16.0000,256.0000,0.4753,0.9771,0.0000,0.0000,104913.0000
0.1000,32.0000,8.0000,0.4007,0.9790,0.0000,0.0000,103317.0000
0.1000,32.0000,16.0000,0.3639,0.9692,0.0000,0.0000,102252.0000
0.1000,32.0000,32.0000,0.4542,0.9829,0.0000,0.0000,104251.0000
0.1000,32.0000,64.0000,0.4057,0.9683,0.0000,0.0000,103492.0000
0.1000,32.0000,128.0000,0.4179,0.9782,0.0000,0.0000,103233.0000
0.1000,32.0000,256.0000,0.5151,0.9953,0.0000,0.0000,105552.0000
0.3000,1.0000,8.0000,0.3870,0.8396,0.0000,0.0000,104092.0000
